energy,cdf
167,0.002240761620823348
169,0.0023431703741414733
170,0.00239560909660912
172,0.002502993104373247
174,0.002613769794271165
176,0.002728
177,0.00278642921564936
179,0.002905954023651528
181,0.003029084945138951
183,0.0031558831970181648
184,0.0032206767259558545
186,0.003353090940615439
188,0.003489325882137338
190,0.0036294430240647623
192,0.0037735038905339314
193,0.003847032458148808
195,0.003997124355402049
197,0.004151313943819042
199,0.004309662846842583
200,0.004390416300698065
202,0.004555119731194931
204,0.004724136542456389
206,0.004897528339022499
207,0.004985884101191991
209,0.00516595382348448
211,0.005350552405760083
213,0.005539741319045001
214,0.005636076343707435
216,0.0058322658808189435
218,0.006033199150072227
220,0.0062389373779296875
221,0.00634362746029409
223,0.006556687726905045
225,0.006774705606496895
227,0.006997741973442465
229,0.007225857582256843
230,0.007341839053305423
232,0.00757768715676858
234,0.007818765809005455
236,0.00806513527931292
237,0.00819032286266784
239,0.008444741219199
241,0.008704600362231855
243,0.008969959976235535
244,0.009104721060899235
246,0.009378442883115344
248,0.009657813561498838
250,0.009942892099484117
251,0.010087590196697678
253,0.01038134069020301
255,0.010680945608971523
257,0.010986463182561431
258,0.011141457346855316
260,0.011455952561165933
262,0.011776504948491123
264,0.012103171875
266,0.01243601044419947
267,0.012604761866117515
269,0.012946964376740313
271,0.013295480094172349
273,0.013650365148274706
274,0.013830213637115308
276,0.014194757296098906
278,0.014565809318338147
280,0.014943424778004432
281,0.01513471092125243
283,0.015522274107602884
285,0.015916537019341287
287,0.016317553596112422
288,0.01652061127271886
290,0.01693185874241988
292,0.017349993233370036
294,0.017775067475020435
295,0.017990223382245617
297,0.018425805330254136
299,0.018868457268193205
301,0.01931823064278609
303,0.019775176521373956
304,0.020006355003094087
306,0.020474154545285575
308,0.020949252563476562
310,0.021431698753566014
311,0.021675692832715518
313,0.02216925357525548
315,0.022670284950391046
317,0.023178835217066707
318,0.023435944900353483
320,0.02395586306498773
322,0.024483418910545143
324,0.025018659196514748
325,0.025289175496955994
327,0.025836029154914897
329,0.026390682218830213
331,0.02695317988920874
332,0.027237384452432525
334,0.027811732784830033
336,0.02839403672026073
338,0.028984339843659678
340,0.02958268526838283
341,0.029884887186653913
343,0.030495375858722754
345,0.0311140125241911
347,0.031740838612341615
348,0.03205733550256981
350,0.03269652233063658
352,0.033344
354,0.03399980820585466
355,0.03433084852693899
357,0.0349992258619466
359,0.03567603075709158
361,0.0363613011262813
362,0.036707122570409825
364,0.037405161106851464
366,0.038111757631500896
368,0.038826948232557716
369,0.039187777444633795
371,0.03991592566668767
373,0.04065275586221448
375,0.0413983022520271
377,0.04215259851612346
378,0.0425330382273795
380,0.04330052126220493
382,0.044076835984929334
384,0.04486201415854564
385,0.04525793681386858
387,0.04605646850599172
389,0.04686394062496348
391,0.04768038298122036
392,0.04809197715993592
394,0.04892192953214107
396,0.049760924194335934
398,0.05060898897146921
399,0.05103643119182965
401,0.051898152059118074
403,0.052769010091707494
405,0.053649031098710304
406,0.05409248562411147
408,0.054986298212904246
410,0.055889335751452246
412,0.056801622005229147
414,0.0577231801510573
415,0.05818744326479322
417,0.05912295141264149
419,0.06006778680622107
421,0.06102197054665099
422,0.061502574477778175
424,0.06247081899616564
426,0.06344846199751822
428,0.06443552248512946
429,0.06493259005994349
431,0.06593381108840728
433,0.06694449446941426
435,0.06796465708873482
436,0.06847829822327424
438,0.06951271002987836
440,0.070556640625
442,0.0716101047595759
443,0.07214041634629612
445,0.07320820710723462
447,0.07428556560142253
449,0.07537250443000283
451,0.07646903557746856
452,0.07702090184708041
454,0.07813184259248161
456,0.07925240291386526
458,0.08038259263009025
459,0.08095130140997675
461,0.08209595227097576
463,0.08325025435706704
465,0.08441421531174836
466,0.08499982008306597
468,0.08617828230921153
470,0.0873664197858305
472,0.08856423797356139
473,0.08916677886972577
475,0.09037912699608885
477,0.09160116675108367
479,0.09283290140718281
480,0.09345240517466594
482,0.09469868694917558
484,0.09595466906738281
486,0.09722035261044258
488,0.09849573803313745
489,0.09913706892018419
491,0.10042700664478434
493,0.10172664464548424
495,0.10303598118480295
496,0.1036942856922639
498,0.10501816541207816
500,0.10635173658781026
502,0.1076949952913499
503,0.10837025606752113
505,0.1097280373297963
507,0.11109549356464914
509,0.1124726186570072
510,0.11316480494318136
512,0.11455642049140945
514,0.11595768688105705
516,0.1173685958157529
517,0.11807766347480567
519,0.11950301931112459
521,0.1209379942321672
523,0.12238257776788578
525,0.12383675882885216
526,0.12456744479669687
528,0.126036
530,0.12751412230070416
532,0.12900179844832388
533,0.12974921490566876
535,0.13125119563324703
537,0.13276269439170527
539,0.13428369578146188
540,0.13504775498344934
542,0.1365829801084419
544,0.138127666692718
546,0.13968179720139862
547,0.14046239828164725
549,0.1420306604709311
551,0.14360832009338234
553,0.14519535749442342
554,0.14599238655506977
556,0.147593452454058
558,0.14920384436238837
560,0.15082354052314725
562,0.15245251858218514
563,0.15327048117497274
565,0.15491333886488792
567,0.15656541996538645
569,0.1582267000448374
570,0.1590607819054815
572,0.1607358133544922
574,0.162419980127179
576,0.16411325573568375
577,0.164963300916348
579,0.1666701888382679
581,0.16838611682834617
583,0.17011105636539312
584,0.17097689639346011
586,0.1727152985131457
588,0.17446263835901268
590,0.17621888540104047
591,0.1771003394242752
593,0.17886988877215332
595,0.18064826650549848
597,0.1824354401115277
598,0.18333231505295663
600,0.18513262027888677
602,0.18694163764399507
604,0.18875933268033526
606,0.1905856703666223
607,0.1915020691086329
609,0.19334130390043966
611,0.1951890913840186
613,0.19704539462059564
614,0.1979767279545558
616,0.199845734375
618,0.2017231618348617
620,0.20360897150883697
621,0.20455500739736066
623,0.206453316429583
625,0.20835990828610118
627,0.21027474228744955
628,0.21123523723684803
630,0.21316235703678046
632,0.21509761499813376
634,0.21704096862102074
635,0.21801566788377122
637,0.2199710841886646
639,0.22193448766412036
641,0.22390583402490524
643,0.22588507848231218
644,0.2268776483638468
646,0.22886865489340003
648,0.2308674453648642
650,0.23287397325118528
651,0.23388012405121222
653,0.2358981697511262
655,0.23792383441247386
657,0.2399570698078424
658,0.24097651132874393
660,0.24302101135253906
662,0.24507295945471672
664,0.24713230574670683
665,0.248164737495849
667,0.25023508651028664
669,0.2523127069561678
671,0.2543975473241434
672,0.2554426587576001
674,0.25753823143320786
676,0.25964089327218975
678,0.2617505911859351
680,0.2638672716423963
681,0.2649282134749903
683,0.26705526641154914
685,0.2691891661437295
687,0.27132985761521666
688,0.27240273293111655
690,0.2745535078468677
692,0.27671093499886473
694,0.2788749578505088
695,0.2799594248825114
697,0.2821332343713215
699,0.2843134964119909
701,0.28650015303263765
702,0.28759586108430274
704,0.289792
706,0.2919943868168983
708,0.2942029621738145
709,0.2953095518981108
711,0.2975272979143401
713,0.29975108237696657
715,0.301980844582431
717,0.30421652345238526
718,0.3053365624480464
720,0.30758100098264646
722,0.30983120187197444
724,0.31208710275696633
725,0.3132171711129114
727,0.31548150428838945
729,0.31775138000893527
731,0.3200267346837132
732,0.32116644666294936
734,0.3234498997874358
736,0.32573867139812135
738,0.32803269672216495
739,0.3291816591952555
741,0.3314834429228761
743,0.3337903170037917
745,0.3361022155337069
746,0.33726002828600515
748,0.33957933923339845
750,0.3419035085050218
752,0.34423246911642535
754,0.3465661537840663
755,0.34773474653213404
757,0.35007539048371544
759,0.3524205890021548
761,0.3547702737907511
762,0.35594677711701533
764,0.35830306264367384
766,0.36066366248412984
768,0.3630285073813947
769,0.36421250001105887
771,0.3665835820591379
773,0.36895873487365594
775,0.3713378882908344
776,0.37252894323098595
778,0.3749139654512131
780,0.3773028117842107
782,0.3796954112134966
783,0.380893096082595
785,0.38329119149059443
787,0.38569286144138987
789,0.388098034120435
791,0.3905066374952741
792,0.391712203125
794,0.3941258170171104
796,0.39654268060017345
798,0.3989627211146722
799,0.4001739099297299
801,0.40259857898648477
803,0.40502624222176525
805,0.4074568262047569
806,0.4086731904797614
808,0.4111080175057774
810,0.41354558091848276
812,0.4159858066719596
813,0.41720689474179423
815,0.4196509748098592
817,0.4220975313905503
819,0.4245464898794348
820,0.4257718464846589
822,0.42822426762757054
824,0.4306789035253332
826,0.43313567907194417
828,0.43559451902859997
829,0.43682468961340787
831,0.4392864848333962
833,0.4417501558161586
835,0.4442156268950018
836,0.4454490137939453
838,0.4479170428988439
840,0.45038668245478736
842,0.4528578564248145
843,0.4540939950274058
845,0.45656732784235726
847,0.4590420045729503
849,0.46151794886981307
850,0.4627563724747938
852,0.46523407479533835
854,0.4677128534752052
856,0.4701926319106675
857,0.47143287208100293
859,0.4739140063835762
861,0.47639594867164264
863,0.47887862214533705
865,0.4813619499594659
866,0.48260383521884853
868,0.4850880003714629
870,0.48757262758449293
872,0.4900576398916345
873,0.49130026639686947
875,0.49378571198244653
877,0.49627135015238205
879,0.4987571038777076
880,0.5
882,0.5024857826147326
884,0.5049714881915438
886,0.507457039697287
887,0.5086997336031305
889,0.5111849095873179
891,0.5136697389697954
893,0.5161541447717274
894,0.5173961647811515
896,0.5198797909356879
898,0.5223628011878956
900,0.5248451186717038
902,0.5273266665639877
903,0.5285671279189971
905,0.531047377486303
907,0.5335266656234191
909,0.5360049156950308
910,0.5372436275252063
912,0.5397201769494402
914,0.5421954970118635
916,0.5446695113232093
917,0.5459060049725942
919,0.5483779176058764
921,0.5508483338795409
923,0.5533171777084492
924,0.5545509862060547
926,0.5570173289228438
928,0.5594819094190737
930,0.5619446519716218
931,0.5631753103865922
933,0.5656351542934988
935,0.5680929714580999
937,0.5705486865769466
939,0.5730022244770514
940,0.5742281535153411
942,0.5766782849348747
944,0.5791260518046463
946,0.581571379445076
947,0.5827931052582057
949,0.5852346343629916
951,0.5876735382122662
953,0.5901097426768506
954,0.5913268095202385
956,0.5937588262836335
958,0.5961879590830724
960,0.598614134396419
961,0.5998260900702701
963,0.6022476917037682
965,0.6046661528599399
967,0.6070814006799439
968,0.608287796875
970,0.6106980885187024
972,0.6131049855631447
974,0.6155084158686083
976,0.6179083075110287
977,0.619106903917405
979,0.6215013531904742
981,0.6238920849633819
983,0.6262790281022792
984,0.627471056769014
986,0.629852184098066
988,0.6322293460000636
990,0.6346024721860886
991,0.6357874999889411
993,0.638154441360391
995,0.6405171724030131
997,0.6428756237269876
998,0.6440532228829847
1000,0.6464051251077929
1002,0.6487525753159866
1004,0.6510955050704289
1005,0.6522652534678659
1007,0.6546012748399955
1009,0.6569326059084876
1011,0.6592591792418504
1013,0.6615809277055555
1014,0.6627399717139948
1016,0.6650543576560469
1018,0.6673637522192153
1020,0.6696680893417389
1021,0.6708183408047446
1023,0.6731149685928449
1025,0.6754063751774405
1027,0.6776924956209414
1028,0.6788335533370506
1030,0.6811116235350881
1032,0.6833842467031266
1034,0.6856513590784074
1035,0.6867828288870885
1037,0.6890415562735552
1039,0.6912946149780024
1041,0.6935419424623828
1042,0.6946634375519536
1044,0.6969020517337233
1046,0.6991347799294974
1048,0.7013615608750038
1050,0.7035823336787995
1051,0.7046904481018892
1053,0.7069020953468563
1055,0.7091075838782743
1057,0.7113068541402973
1058,0.7124041389156972
1060,0.7145939709612056
1062,0.716777437563542
1064,0.7189544805495153
1065,0.7200405751174886
1067,0.7222078744879886
1069,0.7243686065828902
1071,0.7265227146577755
1072,0.7275972670688834
1074,0.7297413336301802
1076,0.7318786361408548
1078,0.7340091193304061
1079,0.7350717865250097
1081,0.7371919380406947
1083,0.7393051339448821
1085,0.7414113204851187
1087,0.743510444350639
1088,0.7445573412423999
1090,0.7466457721129389
1092,0.7487270089870846
1094,0.750801000127311
1095,0.751835262504151
1097,0.7538982890366883
1099,0.7559539424991243
1101,0.7580021727688496
1102,0.7590234886712561
1104,0.7610604911986455
1106,0.7630899472854223
1108,0.7651118084644376
1109,0.7661198759487877
1111,0.7681302549417242
1113,0.7701329199671807
1115,0.7721278242528405
1116,0.7731223516361532
1118,0.7751055281895898
1120,0.7770808292286243
1122,0.779048209713936
1124,0.7810076251081812
1125,0.7819843321162288
1127,0.7839317174717699
1129,0.785871028608552
1131,0.78780222276946
1132,0.7887647627631519
1134,0.7906837024183753
1136,0.7925944204650331
1138,0.7944968759615022
1139,0.7954449926026393
1141,0.7973349786574769
1143,0.799216602110941
1145,0.8010898238708332
1146,0.8020232720454442
1148,0.8038838191369335
1150,0.8057358691483073
1152,0.8075793848693584
1153,0.808497930891367
1155,0.810328576597385
1157,0.8121505973708493
1159,0.8139639579147065
1161,0.8157686234840421
1162,0.8166676849470433
1164,0.8184592441215632
1166,0.8202420238904954
1168,0.8220159914600226
1169,0.8228996605757247
1171,0.8246603495891064
1173,0.8264121468849337
1175,0.828155021648302
1176,0.8290231036065399
1178,0.8307525380413832
1180,0.8324729754061742
1182,0.8341843868912109
1183,0.8350366990836521
1185,0.836734518994745
1187,0.8384232435328274
1189,0.840102845918125
1190,0.8409392180945185
1192,0.8426050883172231
1194,0.8442617719980512
1196,0.8459092444102853
1197,0.8467295188250272
1199,0.8483631292641982
1201,0.8499874692056306
1203,0.8516025159971536
1205,0.8532082475830386
1206,0.8540076134449303
1208,0.8555993321764571
1210,0.8571816831827164
1212,0.8587546465076931
1213,0.8595376017183528
1215,0.8610964474238246
1217,0.8626458582001493
1219,0.8641858162086371
1220,0.8649522450165507
1222,0.8664779917559517
1224,0.8679942437932572
1226,0.8695009854229553
1227,0.8702507850943312
1229,0.871743233004147
1231,0.8732261339231012
1233,0.8746994742929187
1234,0.8754325552033032
1236,0.8768915306750253
1238,0.878340914398226
1240,0.8797806949740927
1242,0.8812108616227871
1243,0.8819223365251943
1245,0.8833380634269018
1247,0.8847441521650046
1249,0.8861405941320945
1250,0.8868351950568186
1252,0.8882171520897915
1254,0.8895894435567856
1256,0.8909520630307217
1257,0.8916297439324788
1259,0.892977844731459
1261,0.894316260201198
1263,0.8956449861008909
1264,0.8963057143077362
1266,0.8976198992691303
1268,0.8989243867954627
1270,0.9002191748361578
1271,0.9008629310798157
1273,0.9021431674171194
1275,0.903413701882299
1277,0.904674534616935
1279,0.9059256663890036
1280,0.9065475948253341
1282,0.9077841779635892
1284,0.9090110647991881
1286,0.9102282582917011
1287,0.9108332211302742
1289,0.9120358815260836
1291,0.9132288587147157
1293,0.9144121578444879
1294,0.915000179916934
1296,0.9161689729775554
1298,0.9173281035814285
1300,0.9184775790606219
1301,0.9190486985900232
1303,0.9201837064918214
1305,0.9213090803220402
1307,0.9224248295893158
1308,0.9229790981529196
1310,0.9240804297610408
1312,0.9251721632895816
1314,0.9262543104143399
1316,0.9273268834282593
1317,0.9278595836537039
1319,0.9289178198981537
1321,0.9299665154574076
1323,0.9310056847761503
1324,0.9315217017767258
1326,0.9325466101573301
1328,0.9335620310847582
1330,0.9345679811408089
1331,0.9350674099400565
1333,0.9360591861086242
1335,0.9370415355153513
1337,0.9380144768621779
1338,0.9384974255222218
1340,0.9394562911624317
1342,0.9404057981290819
1344,0.9413459672248989
1345,0.9418125567352067
1347,0.9427387593338652
1349,0.9436556786734347
1351,0.9445633376356559
1353,0.9454617596919314
1354,0.9459075143758885
1356,0.9467921263669865
1358,0.9476675626969142
1360,0.9485338488844789
1361,0.9489635688081703
1363,0.9498161788981709
1365,0.9506597051754697
1367,0.9514941751788367
1368,0.9519080228400641
1370,0.9527289613177194
1372,0.9535409148642191
1374,0.954343913008314
1375,0.9547420631861314
1377,0.95553168482319
1379,0.9563124273355664
1381,0.9570843222094323
1382,0.9574669617726206
1384,0.9582256454339988
1386,0.9589755625848769
1388,0.9597167466336723
1390,0.9604492315311836
1391,0.9608122225553662
1393,0.9615317235623936
1395,0.9622426126472307
1397,0.9629449256337955
1398,0.9632928774295902
1400,0.9639823945920265
1402,0.9646634275171974
1404,0.96533601386085
1405,0.965669151473061
1407,0.9663291396754313
1409,0.966980777682567
1411,0.967624104938017
1412,0.9679426644974302
1414,0.9685736006797874
1416,0.9691963269084961
1418,0.9698108843681084
1419,0.9701151128133462
1421,0.9707174954076896
1423,0.971311814322224
1425,0.9718981124328938
1427,0.9724764330893878
1428,0.9727626155475675
1430,0.9733290523290634
1432,0.9738876220745362
1434,0.974438369757093
1435,0.974710824503044
1437,0.9752499244068791
1439,0.9757813166550606
1441,0.976305047787942
1442,0.9765640550996465
1444,0.977076382777466
1446,0.9775811675922703
1448,0.9780784575925529
1449,0.9783243071672845
1451,0.9788104459532404
1453,0.9792892118705192
1455,0.9797606544136808
1456,0.9799936449969059
1458,0.9804541961576551
1460,0.9809075494247587
1462,0.9813537556737635
1464,0.9817928661624061
1465,0.9820097766177545
1467,0.9824383403962695
1469,0.9828599381937023
1471,0.9832746225606251
1472,0.9834793887272812
1474,0.9838838022584915
1476,0.9842814352812834
1478,0.984672341566976
1479,0.9848652890787475
1481,0.9852462068113643
1483,0.985620533687661
1485,0.9859883246244864
1486,0.9861697863628847
1488,0.9865278770425938
1490,0.9868795704303094
1492,0.9872249225100278
1493,0.9873952381338825
1495,0.9877311838542546
1497,0.9880609294808597
1499,0.9883845319832578
1501,0.9887020485971623
1502,0.9888585426531447
1504,0.9891670383162338
1506,0.9894695922984037
1508,0.9897662627112745
1509,0.9899124098033024
1511,0.990200364331489
1513,0.9904825815773036
1515,0.9907591204392331
1516,0.9908952789391008
1518,0.9911634111127853
1520,0.9914260130421189
1522,0.9916831443200911
1523,0.9918096771373321
1525,0.9920587145688895
1527,0.9923024311061274
1529,0.9925408869408147
1530,0.9926581609466946
1532,0.9928888389196286
1534,0.9931144073210149
1536,0.99333492684228
1538,0.9935504582989245
1539,0.993656372539706
1541,0.9938645361790739
1543,0.9940678642797278
1545,0.9942664180243331
1546,0.9943639236562926
1548,0.9945554307687254
1550,0.9947423168360847
1552,0.9949246433011749
1553,0.9950141158988081
1555,0.995189718281777
1557,0.9953609148865681
1559,0.9955277673055812
1560,0.995609583699302
1562,0.9957700353708268
1564,0.9959262969129851
1566,0.9960784299536721
1567,0.9961529675418511
1569,0.9962990233552306
1571,0.9964411046661394
1573,0.996579273020275
1575,0.9967135899177256
1576,0.9967793232740442
1578,0.99690797817476
1580,0.9970329351037088
1582,0.997154255322123
1583,0.9972135707843506
1585,0.9973295505993633
1587,0.9974420464350524
1589,0.9975511191877494
1590,0.9976043909033909
1592,0.9977084429294623
1594,0.9978092235303027
1596,0.9979067931075837
1597,0.9979543925929062
1599,0.9980472585225371
1601,0.9981370636838425
1603,0.9982238678503242
1604,0.998266163184108
1606,0.9983485774831772
1608,0.9984281393016278
1610,0.9985049076474927
1612,0.9985789412843465
1613,0.9986149508808122
1615,0.9986849920725073
1617,0.9987524443182126
1619,0.9988173654338809
1620,0.9988488948044401
1622,0.9989101269760879
1624,0.9989689712300843
1626,0.9990254842886614
1627,0.9990528842527685
1629,0.9991060061255613
1631,0.9991569370945635
1633,0.9992057326382797
1634,0.9992293468581829
1636,0.9992750424438999
1638,0.9993187395952592
1640,0.9993604923930828
1641,0.999380656442952
1643,0.9994195931718398
1645,0.9994567188475629
1647,0.9994920859953221
1649,0.9995257466662841
1650,0.9995419532060623
1652,0.9995731506880248
1654,0.9996027696595922
1656,0.9996308604073315
1657,0.9996443482659859
1659,0.9996702397918852
1661,0.9996947264409736
1663,0.9997178565680337
1664,0.999728927887583
1666,0.9997501126171792
1668,0.9997700591292952
1670,0.999788813675639
1671,0.999797758242635
1673,0.9998148101738237
1675,0.9998307829679248
1677,0.9998457205981383
1678,0.9998528147818362
1680,0.9998662806161038
1682,0.9998788181955065
1684,0.9998904690351232
1686,0.9999012739141335
1687,0.9999063716569673
1689,0.9999159824090517
1691,0.9999248458295455
1693,0.9999330000023747
1694,0.9999368228025436
1696,0.9999439827468031
1698,0.9999505250987946
1700,0.9999564850578846
1701,0.9999592574052998
1703,0.999964407889279
1705,0.9999690601835026
1707,0.999973246409171
1708,0.9999751745342443
1710,0.999978719876916
1712,0.9999818754124957
1714,0.9999846699860705
1715,0.9999859406605947
1717,0.9999882457427193
1719,0.9999902576822964
1721,0.9999920018459791
1723,0.9999935025688046
1724,0.9999941689583358
1726,0.9999953478495991
1728,0.9999963395125953
1730,0.9999971645373112
1731,0.9999975206919626
1733,0.9999981319351242
1735,0.9999986231255935
1737,0.999999010895846
1738,0.9999991708765029
1740,0.9999994321372696
1742,0.9999996263996398
1744,0.9999997661216192
1745,0.9999998190863855
1747,0.9999998976539685
1749,0.9999999473911598
1751,0.9999999763600029
1752,0.999999985221456
1754,0.9999999953111687
1756,0.9999999990712765
1758,0.9999999999417961
1760,1.0
